بسم	bism
يشاء من	yasyā`u min
من عباده	min ‘ibādih
فباءوا	fa bā`ụ
فباءوا بغضب	fa bā`ụ bigaḍab
بغضب على	bigaḍabin ‘alā
على غضب	‘alā gaḍab
وللكافرين	wa lil-kāfirīn
للكافرين عذاب	wa lil-kāfirīna ‘ażāb
عذاب مهين	‘ażābum muhīn
وإذا قيل	wa iżā qīl
لهم آمنوا	lahum āminụ
آمنوا بما	āminụ bimā
بما أنزل	bimā anzal
الله قالوا 	allāhu qālụ
قالوا نؤمن	qālụ nu`min
نؤمن بما	nu`minu bimā
بما أنزل	bimā unzil
أنزل علينا	unzila ‘alainā
علينا ويكفرون	‘alainā wa yakfurụn
ويكفرون بما	wa yakfurụna bimā
بما وراءه	bimā warā`ah
وراءه وهو	warā`ahụ wa hụ
هو الحق	huwal-ḥaqq
الحق مصدقا	al-ḥaqqu muṣaddiqa
مصدقا لما	muṣaddiqal limā
قل فلم	qul fa lim
فلم تقتلون	fa lima taqtulụn
تقتلون أنبياء	taqtulụna ambiyā`
أنبياء الله	ambiyā`allāh
الله من	allāhi min
قبل إن	qablu in
إن كنتم	ing kuntum
مؤمنين	mu`minīn
جاءكم	jā`akum
موسى بالبينات	mụsā bil-bayyināt
بالبينات ثم	bil-bayyināti ṡumm
ثم اتخذتم	ṡummattakhażtum
اتخذتم العجل	attakhażtumul-‘ijl
العجل من	al-‘ijla min
ظالمون	ẓālimụn
أخذنا	akhażnā
ميثاقكم ورفعنا	mīṡāqakum wa rafa’nā
ورفعنا فوقكم	wa rafa’nā fauqakum
فوقكم الطور	fauqakumuṭ-ṭụr
خذوا ما	khużụ mā
ما آتيناكم	mā ātainākum
آتيناكم بقوة	ātainākum biquwwah
بقوة واسمعوا	biquwwatiw wasma’ụ
قالوا سمعنا	qālụ sami’nā
سمعنا وعصينا	sami’nā wa ‘aṣainā
وعصينا وأشربوا	wa ‘aṣainā wa usyribụ
وأشربوا في	wa usyribụ fī
في قلوبهم	fī qulụbihim
قلوبهم العجل	qulụbihimul-‘ijl
العجل بكفرهم	al-‘ijla bikufrihim
قل بئسما	qul bi`samā
بئسما يأمركم	bi`samā ya`murukum
يأمركم به	ya`murukum bih
به إيمانكم	bihī īmānukum
إيمانكم إن	īmānukum in
قل إن	qul in
إن كانت	ing kānat
كانت لكم	kānat lakum
لكم الدار	lakumud-dār
الدار الآخرة	ad-dārul-ākhirah
الآخرة عند	al-ākhiratu ‘ind
الله خالصة	allāhi khāliṣah
خالصة من	khāliṣatam min
من دون	min dụn
دون الناس	dụnin-nās
الناس فتمنوا	an-nāsi fa tamannawụ
فتمنوا الموت	fa tamannawul-maut
الموت إن	al-mauta in
ولن يتمنوه	wa lay yatamannauh
يتمنوه أبدا	yatamannauhu abadā
أبدا بما	abadam bimā
بما قدمت	bimā qaddamat
والله عليم	wallāhu ‘alīm
عليم بالظالمين	‘alīmum biẓ-ẓālimīn
ولتجدنهم	wa latajidannahum
أحرص الناس	aḥraṣan-nās
الناس على	an-nāsi ‘alā
على حياة	‘alā ḥayāh
الذين أشركوا	allażīna asyrakụ
أشركوا يود	asyrakụ yawad
يود أحدهم	yawaddu aḥaduhum
لو يعمر	lau yu’ammar
يعمر ألف	yu’ammaru alf
ألف سنة	alfa sanah
هو بمزحزحه	huwa bimuzaḥziḥih
بمزحزحه من	bimuzaḥziḥihī min
من العذاب	minal-‘ażāb
العذاب أن	al-‘ażābi an
أن يعمر	ay yu’ammar
والله بصير	wallāhu baṣīr
بصير بما	baṣīrum bimā
بما يعملون	bimā ya’malụn
قل من	qul man
من كان	mang kān
كان عدوا لجبريل	kāna ‘aduwwal lijibrīl
فإنه نزله	fa innahụ nazzalah
نزله على	nazzalahụ ‘alā
على قلبك	‘alā qalbik
قلبك بإذن	qalbika bi`iżn
بإذن الله	bi`iżnillāh
الله مصدقا	allāhi muṣaddiqā
مصدقا لما	muṣaddiqal limā
لما بين	limā bain
بين يديه	baina yadaih
يديه وهدى	yadaihi wa hudā
وهدى وبشرى	wa hudaw wa busyrā
وبشرى للمؤمنين	wa busyrā lil-mu`minīn
كان عدوا لله	kāna ‘aduwwal lillāh
وملائكته ورسله	wa malā`ikatihī wa rusulih
ورسله وجبريل	wa rusulihī wa jibrīl
وجبريل وميكال	wa jibrīla wa mīkāl
وميكال فإن	wa mīkāla fa in
فإن الله	fa innallāh
عدو للكافرين	‘aduwwul lil-kāfirīn
أنزلنا إليك	anzalnā ilaik
إليك آيات	ilaika āyāt
آيات بينات	āyātim bayyināt
يكفر بها	yakfuru bihā
إلا الفاسقون	illāl-fāsiqụn
أوكلما	a wa kullamā
أوكلما عاهدوا	a wa kullamā ‘āhadụ
عاهدوا عهدا	‘āhadụ ‘ahdā
عهدا نبذه	‘ahdan nabażah
نبذه فريق	nabażahụ farīq
فريق منهم	farīqum min-hum
بل أكثرهم	bal akṡaruhum
رسول من	rasụlum min
نبذ فريق	nabaża farīq
فريق من	farīqum min
أوتوا الكتاب	ụtul-kitāb
الكتاب كتاب	al-kitāba kitāb
كتاب الله	kitāballāh
الله وراء	allāhi warā`
وراء ظهورهم	warā`a ẓuhụrihim
كأنهم	ka`annahum
واتبعوا	wattaba’ụ
ما تتلو الشياطين	mā tatlusy-syayāṭīn
الشياطين على	asy-syayāṭīnu ‘alā
على ملك	‘alā mulk
ملك سليمان	mulki sulaimān
وما كفر	wa mā kafar
كفر سليمان	kafara sulaimān
سليمان ولكن	sulaimānu wa lākin
ولكن الشياطين	wa lākinnasy-syayāṭīn
الشياطين كفروا	asy-syayāṭīna kafarụ
كفروا يعلمون	kafarụ yu’allimụn
يعلمون الناس	yu’allimụnan-nās
الناس السحر	an-nāsas-siḥr
السحر وما	as-siḥra wa mā
وما أنزل	wa mā unzil
أنزل على	unzila ‘alā
على الملكين	‘alal-malakain
الملكين ببابل	al-malakaini bibābil
ببابل هاروت	bibābila hārụt
هاروت وماروت	hārụta wa mārụt
وما يعلمان	wa mā yu’allimān
يعلمان من	yu’allimāni min
من أحد	min aḥad
أحد حتى	aḥadin ḥattā
حتى يقولا	ḥattā yaqụlā
يقولا إنما	yaqụlā innamā
إنما نحن	innamā naḥn
نحن فتنة	naḥnu fitnah
فتنة فلا	fitnatun fa lā
فلا تكفر	fa lā takfur
فيتعلمون	fa yata’allamụn
فيتعلمون منهما	fa yata’allamụna min-humā
منهما ما	min-humā mā
ما يفرقون	mā yufarriqụn
يفرقون به	yufarriqụna bih
به بين	bihī bain
بين المرء	bainal-mar’
المرء وزوجه	al-mar’i wa zaujih
بضارين به	biḍārrīna bih
به من	bihī min
أحد إلا	aḥadin illā
إلا بإذن الله	illā bi`iżnillāh
ويتعلمون	wa yata’allamụn
ويتعلمون ما	wa yata’allamụna mā
ما يضرهم	mā yaḍurruhum
ولا ينفعهم	wa lā yanfa’uhum
علموا	‘alimụ
علموا لمن	‘alimụ laman
لمن اشتراه	lamanisytarāh
اشتراه ما	asytarāhu mā
ما له في	mā lahụ fī
في الآخرة	fil-ākhirah
الآخرة من	al-ākhirati min
من خلاق	min khalāq
ولبئس	wa labi`s
ولبئس ما	wa labi`sa ma
ما شروا	mā syarau
شروا به	syarau bih
به أنفسهم	bihī anfusahum
ولو أنهم	walau annahum
آمنوا واتقوا	āmanụ wattaqau
واتقوا لمثوبة	wattaqau lamaṡụbah
لمثوبة من	lamaṡụbatum min
خير لو	khaīr lau
يا أيها	yā ayyuhā
أيها الذين	ayyuhallażīn
الذين آمنوا	ażīna āmanụ
آمنوا لا	āmanụ lā
لا تقولوا راعنا	lā taqụlụ rā’inā
راعنا وقولوا	rā’inā wa qụlu
وقولوا انظرنا	wa qụlunẓurnā
انظرنا واسمعوا	unẓurnā wasma’ụ
واسمعوا وللكافرين	wasma’ụ wa lil-kāfirīn
وللكافرين عذاب	wa lil-kāfirīna ‘ażāb
عذاب أليم	‘ażābun alīm
ما يود	mā yawad
يود الذين	yawaddullażīn
كفروا من	kafarụ min
من أهل	min ahl
أهل الكتاب	ahlil-kitāb
الكتاب ولا	al-kitābi wa lā
المشركين أن	al-musyrikīna an
ينزل عليكم	yunazzala ‘alaikum
من خير	min khair
خير من	khairim min
من ربكم	mir rabbikum
والله يختص	wallāhu yakhtaṣ
يختص برحمته	yakhtaṣṣu biraḥmatih
برحمته من يشاء	biraḥmatihī may yasyā`
ذو الفضل	żul-faḍl
الفضل العظيم	al-faḍlil-‘aẓīm
ما ننسخ	mā nansakh
من آية	min āyah
آية أو	āyatin au
أو ننسها	au nunsihā
ننسها نأت	nunsihā na`t
نأت بخير	na`ti bikhair
بخير منها	bikhairim min-hā
منها أو	min-hā au
أو مثلها	au miṡlihā
ألم تعلم	a lam ta’lam 
أن الله	annallāh
على كل	‘alā kull
كل شيء	kulli syai`
الله له	allāha lah
له ملك	lahụ mulk
ملك السماوات	mulk
السماوات والأرض	as-samāwāti wal-arḍ
من ولي	miw walī
ولي ولا	waliyyiw wa la
ولا نصير	wa lā naṣīr
أم تريدون	am turīdụn
تريدون أن	turīdụna an
أن تسألوا	an tas`alụ
تسألوا رسولكم	tas`alụ rasụlakum
رسولكم كما	rasụlakum kamā
كما سئل	kamā su`il
سئل موسى	su`ila mụsā
موسى من	mụsā min
ومن يتبدل	wa may yatabaddal
يتبدل الكفر	yatabaddalil-kufr
الكفر بالإيمان	al-kufra bil-īmān
بالإيمان فقد	bil-īmāni fa qad
فقد ضل	fa qad ḍal
ضل سواء	ḍalla sawā`
سواء السبيل	sawā`as-sabīl
ود كثير	wadda kaṡīr
كثير من	kaṡīrum min
الكتاب لو	al-kitābi lau
لو يردونكم	lau yaruddụnakum
يردونكم من	yaruddụnakum min
إيمانكم كفارا	īmānikum kuffārā
حسدا من	ḥasadam min
من عند	min ‘ind
عند أنفسهم	‘indi anfusihim
بعد ما	ba’di mā
ما تبين	mā tabayyan
تبين لهم	tabayyana lahum
لهم الحق	lahumul-ḥaqq
فاعفوا	fa’fụ
فاعفوا واصفحوا	fa’fụ waṣfaḥụ
واصفحوا حتى	waṣfaḥụ ḥattā
حتى يأتي	ḥattā ya`tiy
يأتي الله	ya`tiyallāh
الله بأمره	allāhu bi`amrih
وما تقدموا	wa mā tuqaddimụ
تقدموا لأنفسكم	tuqaddimụ li`anfusikum
لأنفسكم من	li`anfusikum min 
خير تجدوه	khairin tajidụh
تجدوه عند	tajidụhu ‘ind
تعملون بصير	ta’malụna baṣīr
لن يدخل	lay yadkhul
يدخل الجنة	yadkhulal-jannah
الجنة إلا	yadkhulal-jannata illā
إلا من	llā man
كان هودا	kāna hụdā
هودا أو	hụdan au
أو نصارى	au naṣārā
تلك أمانيهم	tilka amāniyyuhum
قل هاتوا	qul hātụ
هاتوا برهانكم	hātụ bur-hānakum
برهانكم إن	bur-hānakum in
من أسلم	man aslam
أسلم وجهه	aslama waj-hah
وجهه لله	waj-hahụ lillāh
لله وهو	illāhi wa hụ
وهو محسن	wa huwa muḥsin
محسن فله	muḥsinun fa lah
فله أجره	fa lahū ajruh
أجره عند	ajruhụ ‘ind
عند ربه	inda rabbih
ربه ولا	rabbihī wa lā
ولا خوف	wa lā khauf
خوف عليهم	khaufun ‘alaihim
وقالت	wa qālat
وقالت اليهود	wa qālatil-yahụd
اليهود ليست	al-yahụdu laisat
ليست النصارى	laisatin-naṣārā
النصارى على	an-naṣārā ‘alā
شيء وقالت	syai`iw wa qālat
وقالت النصارى	wa qālatin-naṣārā
النصارى ليست	an-naṣārā laisat
ليست اليهود	laisatil-yahụd
اليهود على	al-yahụdu ‘alā
شيء وهم	syai`iw wa hum
يتلون الكتاب	yatlụnal-kitā
كذلك قال	każālika qālā
قال الذين	qālallażīn
الذين لا	allażīna lā
يعلمون مثل	ya’lamụna miṡl
مثل قولهم	miṡla qaulihim
فالله يحكم	fallāhu yaḥkum
بينهم	bainahum
القيامة فيما 	al-qiyāmati fīmā
فيما كانوا	fīmā kānụ
كانوا فيه	kānụ fīh
فيه يختلفون	fīhi yakhtalifụn
أظلم ممن	aẓlamu mim man
ممن منع	mim mam mana’
منع مساجد	mana’a masājid
مساجد الله	masājidallāh
الله أن	allāhi an
أن يذكر	ay yużkar
يذكر فيها	yużkara fīhā
فيها اسمه	fīhasmuhu
اسمه وسعى	ismuhụ wa sa’ā
وسعى في	wa sa’ā fi
في خرابها	fī kharābihā
أولئك ما	ulā`ika mā
أن يدخلوها	ay yadkhulụhā
يدخلوها إلا	yadkhulụhā illā
إلا خائفين	illā khā`ifīn
الدنيا خزي	ad-dun-yā khizy
خزي ولهم	khizyuw wa lahum
المشرق والمغرب	al-masyriqu wal-magrib
والمغرب فأينما	wal-magribu fa ainamā
فأينما تولوا	fa ainamā tuwallụ
تولوا فثم	tuwallụ fa ṡamm
فثم وجه	fa ṡamma wajh
واسع عليم	innallāha wāsi’un ‘alīm
وقالوا اتخذ	wa qāluttakhaż
اتخذ الله	attakhażallāh
الله ولدا	allāhu waladā
ولدا سبحانه	waladan sub-ḥānah
له قانتون	kullul lahụ qānitụn
بديع السماوات	badī’us-samāwāti wal-arḍ
وإذا قضى	wa iżā qaḍā
قضى أمرا	qaḍā amrā
أمرا فإنما	amran fa innamā
فإنما يقول	fa innamā yaqụl
يقول له	yaqụlu lah
له كن	lahụ kun
كن فيكون	kun fa yakụn
لولا يكلمنا	lau lā yukallimunā
يكلمنا الله	yukallimunallāh
الله أو	allāhu au
أو تأتينا	au ta`tīnā
تأتينا آية	ta`tīnā āyah
مثل قولهم	miṡla qaulihim
تشابهت قلوبهم	tasyābahat qulụbuhum
لقوم يوقنون	liqaumiy yụqinụn
إنا أرسلناك	innā arsalnāk
أرسلناك بالحق	arsalnāka bil-ḥaq
بالحق بشيرا	bil-ḥaqqi basyīrā
بشيرا ونذيرا	basyīraw wa nażīrā
ونذيرا ولا تسأل	wa nażīraw wa lā tus`al
ولا تسأل	wa lā tus`al
تسأل عن	tus`alu ‘an
عن أصحاب	‘an aṣ-ḥāb
أصحاب الجحيم	aṣ-ḥābil-jaḥīm
ولن ترضى	wa lan tarḍā
ترضى عنك	tarḍā ‘angk
عنك اليهود	‘angkal-yahụd
اليهود ولا	al-yahụdu wa lā
النصارى حتى	an-naṣārā ḥattā
حتى تتبع	ḥattā tattabi’
تتبع ملتهم	tattabi’a millātahum
 هدى الله	hudallāh
هو الهدى	huwal-hudā
ولئن اتبعت	wa la`inittaba’t
اتبعت أهواءهم	attaba’ta ahwā`ahum
بعد الذي	ba’dallażi
الذي جاءك	allażī jā`ak
جاءك من	jā`aka min
من العلم	minal-‘ilm
العلم ما	al-‘ilmi ma
ما لك من	mā laka min
الذين آتيناهم	allażīna ātaināhum
الكتاب يتلونه	al-kitāba yatlụnah
يتلونه حق	yatlụnahụ ḥaq
حق تلاوته	ḥaqqa tilāwatih
ومن يكفر	wa may yakfur
يكفر به	yakfur bihi
به فأولئك	bihī fa ulā`ik
اذكروا نعمتي	użkurụ ni’matī
نعمتي التي	ni’matiyallati
التي أنعمت	allatī an’amt
أنعمت عليكم	an’amtu ‘alaikum
وأني فضلتكم	wa annī faḍḍaltukum
واتقوا يوما	wattaqụ yaumā
يوما لا 	yaumal lā
تجزي نفس	tajzī nafs
نفس عن	nafsun ‘an
نفس شيئا	nafsin syai`ā
شيئا ولا	syai`aw wa lā
ولا يقبل	wa lā yuqbal
يقبل منها	yuqbalu min-hā
منها عدل	min-hā ‘adl
عدل ولا	‘adluw wa lā
ولا تنفعها	wa lā tanfa’uhā
تنفعها شفاعة	tanfa’uhā syafā’ah
شفاعة ولا	syafā’atuw wa lā
وإذ ابتلى	wa iżibtalā
إبراهيم ربه	ibrāhīma rabbuh
ربه بكلمات	rabbuhụ bikalimāt
بكلمات فأتمهن	bikalimātin fa atammahunn
قال إني	qāla innī
إني جاعلك	innī jā’iluk
جاعلك للناس	jā’iluka lin-nās
للناس إماما	lin-nāsi imāmā
ومن ذريتي	qāla wa min żurriyyatī
ينال عهدي 	yanālu ‘ahdī
عهدي الظالمين	‘ahdiẓ-ẓālimīn
جعلنا البيت	wa iż ja’alnal-bait
البيت مثابة	al-baita maṡābah
مثابة للناس	maṡābatal lin-nās
للناس وأمنا	lin-nāsi wa amnā
من مقام	mim maqām
مقام إبراهيم	maqāmi ibrāhīm
إبراهيم مصلى	ibrāhīma muṣallā
وعهدنا إلى	wa ‘ahidnā ilā
إلى إبراهيم	ilā ibrāhīm
إبراهيم وإسماعيل	ibrāhīma wa ismā’īl
وإسماعيل أن	wa ismā’īla an
أن طهرا	an ṭahhira
طهرا بيتي	ṭahhirā baitī
بيتي للطائفين	baitiya liṭ-ṭā`ifīn
للطائفين والعاكفين	liṭ-ṭā`ifīna wal-‘ākifīn
والعاكفين والركع	wal-‘ākifīna war-rukka’
والركع السجود	war-rukka’is-sujụd
رب اجعل	rabbij’al
اجعل هذا	ij’al hāżā
هذا بلدا	hāżā baladā
بلدا آمنا	baladan āminā
آمنا وارزق	āminaw warzuq
وارزق أهله	warzuq ahlah
أهله من	ahlahụ min
من الثمرات	minaṡ-ṡamarāt
الثمرات من	aṡ-ṡamarāti man
من آمن	man āman
آمن منهم	āmana min-hum
منهم بالله	min-hum billāh
بالله واليوم	billāhi wal-yaum
واليوم الآخر	wal-yaumil-ākhir
فأمتعه قليلا	fa umatti’uhụ qalīlā
قليلا ثم	qalīlan ṡum
ثم أضطره	ṡumma aḍṭarruh
أضطره إلى	aḍṭarruhū ilā
إلى عذاب	ilā ‘ażābin-nār
وبئس المصير	wa bi`sal-maṣīr
يرفع إبراهيم	yarfa’u ibrāhīm
إبراهيم القواعد	ibrāhīmul-qawā’id
القواعد من	al-qawā’ida min
من البيت	minal-bait
البيت وإسماعيل	al-baiti wa ismā’īl
تقبل منا	taqabbal minnā
واجعلنا مسلمين	waj’alnā muslimain
مسلمين لك	muslimaini lak
ذريتنا أمة	żurriyyatinā ummah
أمة مسلمة	ummatam muslimah
مسلمة لك	muslimatal lak
لك وأرنا	laka wa arinā
وأرنا مناسكنا	wa arinā manāsikanā
مناسكنا وتب	manāsikanā wa tub
وتب علينا	wa tub ‘alainā
ربنا وابعث	rabbanā wab’aṡ
وابعث فيهم	wab’aṡ fīhim
رسولا منهم	rasụlam min-hum 
يتلو عليهم	yatlụ ‘alaihim
آياتك ويعلمهم	āyātika wa yu’allimuhum
الكتاب والحكمة	al-kitāba wal-ḥikmah
والحكمة ويزكيهم	wal-ḥikmata wa yuzakkīhim
ومن يرغب	wa may yargab
عن ملة	‘am millāh
ملة إبراهيم	millāti ibrāhīm
سفه نفسه	safiha nafsah
ولقد اصطفيناه	wa laqadiṣṭafaināh
أسلمت لرب	iż qāla lahụ rabbuhū aslim qāla aslamtu lirabbil-‘ālamīn
